;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V27
1;»;;;;;;;;;;;;;uff;;;;rm;;;;;;;;;
2;;;eitc;;;;;ap;;;;;;;;¯;;qt;;;;;;;;;
3;;;;;;;;ð;;;;;;;;;;…rm;;;;;;;;;
4;;;;;;ica;;;—;;;;;;;;;ination;;;;;;;;;
5;;;;;;;;;;;;;;;;ð;;;;;;;;;;;
6;;;;;;;sam;;;;;;;;;;;zb;;;;;;;;;
7;;;;;;;;;;;;;;;;;ach;;;;;;;;;;
8;;;;;;;;;;;;;;;;;;…rms;;;;;;;;;
9;;;;;;;;yþ;;;;;;;;;;rms;;;;;;;hicp;;
10;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;;;;;;;;;;;;;;;;;;;;;;;martin;;;;
12;;—;;;;;;;mm;;;;;;;;;;;;;labour;unemployment;;;;
13;;;;;;;;yþg;;;;;;;;;;;;;;;;;;yn;
14;;ves;;;vol;;;;;;;ifs;;;;;;;;;;;;;;pi;
15;;dvm;;;;;;ðk;;;;;;;;;;;;;;;;;;;
16;;;;;;;;ðg;;;;;;;;;;;¢;;;;;;;;
17;;;;;;;;yþap;;;;;;;;;;;;;;;;;;;
18;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;lima;;;;;;;;;;;;;;;;;;œ;;;;;;;;
20;;;;;;;;;;;;;¿;;;;;;©;;;;;;;;
21;;;;;;acta;;gþ;;;;;;;;;;;;;;;;tion;;;
22;;;;;;oeconomica;;;;;;;;ze;fomc;;;;;;;;;;;;
23;;;;;;;;¶;;;;;;bb;;;;;;;;;fomc;;;;
24;;tue;;;;;;ðap;;;;;;;;;;;;;;;;;;;
25;;;;;;;;le;‘;;;;;;;ðaþ;;;;;;;;;yearonyear;;
26;;;;;;;;gðyþ;;;;;;;;;;;;;;;;;;;
27;;‘;;;;;;;;;;;;;;;;;;;;;;;;;
28;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;ac;;;;;;;;;;;;;;;;;;;;;;;;;;
30;ma;;;;;;;jb;;;;;;;;;;;;;;;;;;;
31;;;;;;;;;the;—;;;;;;;;;;;;;;;;;oo
32;;;;;;;;;in;;;;mws;;;;;;;;;;;;;;s
33;;;;;;;;;j;;;csr;;;;;;;;;;;;;;;ss
34;;;;;;;;;;;;;;;;;;;;;;;;;;;ceo
35;;;;;;;;;a;;;;;;;;;;;;;;;;;;ceos
36;;;;;;;bora;;;;;;;;;;;;nn;;;;;;;;compensation
37;;;;;;;;;it;;;;sox;;;;‘;;;;;;;;;;—
38;;;;x;;;;;this;;;;;;;;;;;;;;;;;;n
39;;;;i;;;;;m;;;;;;;;;;;;;;;;;;co
40;;;;y;;;;;however;;;;;;;der;;;;;;;;;;;©
41;;;;;;;;;as;;;;;;;;;;;;;;;;;;
42;;;;;;;;;;;;;i;;mncs;;;jan;;;;;;;;;os
43;;;;;;;;;;;;;—;ltd;;;;;;;;;;;;;
44;;;;;;;;;for;i;;;;blackwell;;;;;miceli;;;;;;;;es
45;;;;;;;;;;;;;;;itco;und;;;;;;;;;i;;so
46;;;;;;;;;p;;;;;;;;truthadvertising;;;;pousttchi;;;;;;°
47;;;;;;;;;g;;und;;;;;;;;;;;activities;zimmerman;;in;;
48;;;;;;;;;;;;;;;;;;;;cmas;;;;;;;o
49;;;soe;;;;;;d;;;;summer;;;;;;;;;;;;sls;;
50;;;;;;;;;e;;;;;‘the;;;;;;nn;;;fasb;;;;oe
51;;;;;©;;;;s;;;;;;;¢;;;;;;;;;conc;;se
52;;;;;;;;;;;;;;;;;;;;i;;;¢;;;;ae
53;;;;;;;;;;;;;;;;;;;;;;;;this;;€;
54;;;;;;;;;k;;;;;;;;;;;pja;;;;in;;;ee
55;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;;;;;;;;;;;ortmann;;;;;;;;;;;;‘;;—;;
57;;;va;throughput;;;;;;;;;no;;;;;;;;;;;;;;om
58;;;;no;;;;nok;;;;des;;;;;;;;;;;;;;pmultinational;on
59;;;;;;;;;r;;;la;vol;verein;;zeitschrift;we;;;jsr;;;;;ms;l;nn
60;;‘;;;™;;;;;;;;;fur;;;springern;;;plateaus;;;;;;;
