;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20
1;fo;powe;wkh;eu;fi;dono;;ade;ade;pe;;imf;expo;;ate;emba;mig;;fo;
2;mo;ame;dqg;opean;expo;ansfe;ate;;envi;wo;ma;sove;ts;;;ms;ants;ice;;
3;pa;;lq;membe;eign;count;;;onmental;;ation;debt;;ufb;eal;;ation;;;ch
4;st;ican;lv;secu;;;;ies;secto;owth;pe;ag;impo;ð;;;immig;ices;;
5;ed;st;ffohv;ity;ms;fta;cu;wo;ta;;ee;eign;;equilib;;gco;;expo;wa;inte
6;ing;ld;wkdw;tu;indust;ies;ols;ld;expo;count;iod;fund;ade;ma;;idgeo;;impo;ate;esea
7;om;;zh;union;fo;prsp;cont;compa;labo;yes;ket;edito;owth;ium;;wa;pe;se;eu;wo
8;ent;wo;su;bo;global;ta;;diffe;ag;va;nafta;ing;;bo;;;;agg;spot;
9;se;histo;qv;©;ect;poo;eme;elative;iff;data;est;ba;inc;;moneta;ag;;es;ecast;ms
10;ove;uk;duh;policy;oductivity;fo;ging;aded;ms;ke;equity;ivate;;ain;;civil;;ts;ecasts;cities
11;thei;thei;gxfwl;ation;ting;ade;isis;ns;oducts;;kets;law;;;;azil;emig;fo;ates;
12;othe;;wklv;key;count;netwo;kets;netwo;iffs;gdp;;gove;ices;ket;fis;;ant;laspey;ies;ld
13;la;;exvlqhvv;council;fdi;coope;ates;co;indust;child;fo;enfo;ice;bank;cu;tial;ko;gea;moneta;netwo
14;te;;xqwulhv;powe;;nment;ency;ices;;ies;diufbe;eement;sita;count;;icultu;obability;;iables;taylo
15;howeve;unive;ehwzhhq;frontex;va;pa;ises;node;icultu;yea;co;wto;janua;info;inte;sitá;homeowne;compa;mac;
16;pe;ces;hf;‘;ies;pai;;ences;tax;ld;;ity;ginal;inte;jou;fa;;oducts;va;
17;ge;impe;lqgxvwuldo;pa;rd;ot;ma;inte;impo;capita;;bank;ino;est;ates;‘;age;paasche;facto;gence
18;es;‘;wudgh;ope;ma;ua;ies;patte;fo;ma;etu;count;agg;isis;est;co;united;app;;theo
19;gene;janua;qdo;;defense;gi;est;whe;libe;ue;;inte;;capital;eign;libe;luck;;st;ol
20;ly;empi;kdyh;itization;facto;ee;yea;national;ma;;conve;est;;fo;owth;un;ship;;ictions;unde
21;ve;;xu;ep;measu;ui;;nont;inc;;vecto;ts;ld;mation;;ops;;ve;figu;ban
22;ma;mo;shqqhvv;;lea;st;;line;costs;iable;;uctu;;integ;nal;;om;vices;;
23;wo;united;ffoh;;ial;iff;;theo;ket;cent;;lending;;solvency;;;wo;fishe;economet;cont
24;cont;ative;lqgh;liament;jou;gove;;ice;egs;;va;membe;egion;iod;;ete;cent;istics;data;es
25;example;russia;uuhodwl;beneufbts;local;secto;;ge;egional;;cu;eements;egate;ises;;secu;;efe;vecto;uctu
26;ies;ess;zklfk;ltd;alization;dt;;china;;;equilib;io;;welfa;ep;impa;;eks;;
27;tant;ategies;zlwk;nal;effects;;;fo;;;integ;cou;;ufbnancing;ent;enfo;;cha;ea;
28;co;;gdwd;politics;libe;;du;ality;emissions;;;ade;;þð;;;;pe;esults;mode
29;efo;wa;dv;efe;ning;issp;;cost;wto;ket;inte;app;ibution;equity;mac;ity;;esident;;resea
30;whe;;pdm;autho;effect;pove;;tne;elative;iables;ating;safegua;sha;st;ice;;;;;
