;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20
1;;fo;emba;ade;wkh;;;ansfe;fi;;mig;;cointeg;gove;;;;;cultu;eu
2;;mo;ms;envi;dqg;ufbnancial;mation;ta;;;wo;;fo;dono;ade;tu;;imf;esea;secu
3;;pa;goes;ag;fis;;ma;count;;ld;pe;fo;model;;ts;opean;ices;sove;ch;bo
4;;ing;wa;onmental;lq;;;secto;va;;cent;wo;ma;nment;;uk;;ufb;;opean
5;moneta;thei;;icultu;lv;;;fo;ect;;emittances;jou;va;;impo;powe;impo;;beneufbts;ity
6;;ed;ain;ies;ffohv;;est;iff;ma;wo;ld;;;aid;labo;membe;fo;edito;;ontex
7;ency;om;gco;;wkdw;ies;ium;expo;fo;ican;ants;ent;test;fo;inc;;ts;isis;ep;‘
8;eal;othe;idgeo;alization;zh;;;fta;eign;;ke;nal;vecto;indust;;;agg;eign;social;itization
9;;ove;;wto;eneu;;bo;policy;ms;;;ade;;eign;secto;;se;est;inte;membe
10;;se;ces;libe;su;;ate;welfa;ies;;;;nafta;og;ease;;es;ises;ms;union
11;;ent;ols;onment;qv;va;fo;impo;count;;;;pe;coope;ms;ussia;laspey;;;ope
12;;gene;;;duh;fo;integ;fi;;‘;ation;;ecast;ty;owth;pa;gea;;ated;
13;;ve;cont;ta;gxfwl;;ket;consume;;;labo;diffe;iod;;;efe;compa;inte;studies;©
14;ises;la;civil;oducts;wklv;owth;;ies;ket;histo;owth;ld;;;ma;ade;oducts;ivate;mode;nal
15;;ly;tial;cent;exvlqhvv;;;ade;ting;uctu;;ices;ee;sp;;;paasche;ba;oup;ation
16;ging;es;un;;xu;;inte;indust;;impe;;eq;wa;poo;fo;ussian;ve;iod;pa;ftt
17;eme;ee;;azil;xqwulhv;;ed;om;;empi;;;;;;;efe;;gence;tax
18;;ge;secu;income;ehwzhhq;;isk;;measu;ma;immig;oduction;;suppo;agg;aine;;;behavio;mig
19;isis;howeve;milita;ld;hf;shock;;coo;fdi;;ies;net;ate;secto;ct;ences;app;;expe;isk
20;bank;fi;;egional;lqgxvwuldo;gove;welfa;netwo;iable;;emittance;const;ecasts;;skilled;;fishe;enfo;jou;
21;;te;enfo;egs;wudgh;pe;;pai;alization;;labou;fig;ket;pa;effects;;;ufbnancing;;
22;mac;ess;ity;wo;qdo;nment;ated;ganized;jou;inte;;eal;jou;ial;sita;ies;;bank;;
23;;ticula;esou;china;shqqhvv;size;sistent;benchma;esults;cont;;ep;;ocess;;ge;;debto;;exte
24;;unde;capcon;;kdyh;ea;eu;dination;data;yo;demog;inte;;app;ginal;©;eks;ity;;
25;ve;co;ttt;iff;ffoh;standa;kets;evenue;labo;netwo;om;owth;;;;kish;oduct;;;‘secu
26;inte;;impa;vices;lqgh;mac;pa;gi;;;;aded;ates;;ino;ot;vices;ð;;ds
27;count;tant;;netwo;uuhodwl;;;ui;yes;;aphic;compa;kets;;cm;;istics;uctu;;ime
28;eign;ea;;ts;zklfk;eal;bh;iffs;;ess;;;;ies;janua;;om;;inufbuence;itizing
29;;;oups;pe;zlwk;;ates;ua;libe;london;emig;;diufbe;imf;;keys;ue;;cha;
30;;ds;sitá;fa;gdwd;ictions;act;;cont;taylo;;;;;egate;enla;pe;ms;eps;
